,"Unnamed: 0, nan","№ п/п, nan","Дата составления, nan","Организация, nan","Месторождение, nan","ЛУ, nan","Цех, nan","ТЛ/ДНС, nan","АГЗУ, nan","№ Скв, nan","Номер куста, nan","Дата ввода в эксплуатацию, nan","Тип ствола скв., nan","Пласт,  ","Состояние по фонду, nan","текущее состояние, nan","Скин фактор, nan","Дата ГРП, nan","Исполнитель ГРП, nan","Примечание ГРП, nan","P нас, ат","ГС, м3/м3","Вязкость нефти (пл.усл), сПз","Вязкость воды (пл.усл.), сПз","Вязкость жидкости (станд.усл), сПз","Объемный коэф-т нефти, nan","Плот-ть нефти (станд.усл), г/см3","Плот-ть нефти  (пл.усл.), г/см3","Т пласта, ͦС","Плот-ть воды (станд.усл), г/см3","Dэк 
внешн., мм","Толщ. стенки, мм","Интервал спуска ЭК, м","Исскуств. забой, м","Текущий забой, м","Дата отбивки текущего забоя, nan","Способ отбивки текущего забоя, nan","Примечание, nan","Тип конструкции  забоя, nan","Интервалы перфорации, м","Нперф_Эфф, м","Нвд_замер, м","Удлинение на Нвд, м","Интервал спуска хвостовика, м","Диаметр хвостовика, мм","Толщ.стенки хвостовика, мм","Способ эксплуатации, nan","Глубина 1 и.о., м","Давление запуска
1 и.о., ат","Глубина 2 и.о., м","Давление запуска
2 и.о., ат","Глубина 3 и.о., м","Давление запуска
3 и.о., ат","Глубина 4 и.о., м","Давление запуска
4 и.о., ат","Глубина 5 и.о., м","Давление запуска
5 и.о., ат","Глубина 6 и.о., м","Давление запуска
6 и.о., ат","Глубина НПЦК, м","Состояние НПЦК, nan","Примечание.1, nan","Тип насоса, nan","Число ступеней, шт","Напор, м","Частота, Гц","ПЭД, кВт","Qтеор, м3/сут","Глубина спуска ПО, м","Глубина спуска ПО (по верт.), м","Удлинение на гл спуска ПО, м","Dнкт, мм","Толщина стенки НКТ, мм","Dшт, мм","Вид штуцера, nan","Режим работы, nan","Время работы, час","Время
накопления, 0+","Рбуф, ат","Рзатр, ат","Рлин, ат","Дата замера Рпл, nan","Рпл, ат","Рг/г, ат","Состояние АСУРГГ, nan","Модификация АСУРГГ, nan","Dшт линии подачи г/г, мм","Ндин (расчетный от Рпр), м","Р пр (расчетный от Нд), ат","Ндин, м","Р пр, ат","Рзаб, ат","Дебит нефти, т/сут","Дебит жидкости, м3/сут","Обводненность, %","Дебит газа, тыс.м3/сут","Расход г/г, тыс.м3/сут","Расход г/г.1, м3/ч","Дебит ПНГ, тыс.м3/сут","ГФ, м3/сут","УРГГ, м3/т","Кпрод, м3/(сут*ат)"
0,1р,1.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,К-18,1р,Без куста,2013-08-09 00:00:00,Верт.,P4+5+6_Block1_yug,Действующий,В работе,,, ,,203,218.2,0.98,1.66,0.9812058191994981,1.454,0.836,0.72,34.3,1.17,139.7,7.72,1985,1910,1908.3,2019-08-09 00:00:00,,,закрытый,"1836-1839;   1844-1850;   1854-1858;
1861-1868; 1872-1876, 1894-1908,3; 1910-1975;1910-1947",72.24,1836,0.5,,,,Газлифт,399.99999375,ГП,709.999974023,ГП,949.999985156,ГП,1120.000027148,ГП,1290.000069141,ГК 79 5/32,-,-,1770,открыт,-,-,-,-,-,-,-,1820,1810.48,9.519999999999982,73,5.5,18,штуцер,Постоянный,24,0,25,37,24,2023-04-01 00:00:00,109.3,74,В работе,Сиант ,5,,,,,44,8.0015232,9.6,0.3,18,8.4,,9.6,1199.7715634943108,1045.4427061553276,0.14701378254211334
1,2р,1.0,2023-05-22 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-4,ЗУ-9,2р,Без куста,2004-10-08 00:00:00,Верт.,P4+5+6_Block1_yug,Действующий,В работе,-4.0,2013-09-18 00:00:00,Slb,КГРП 64м3 15% HCL,203,218.2,0.98,1.66,0.9805221575827126,1.454,0.836,0.72,34.3,1.17,"177,8;139,7","10,06; 7,72",0-1555; 1555-1898,1887,1880,2004-10-08 00:00:00,,,закрытый,"1795-1822; 1831-1833; 1839-1851; 
1870-1873; 1875-1877; 1878-1880",85,1795,0.33,,,,Газлифт,519.9888,ГК 84 1/8,929.9448,ГК 86 1/8,1250,ГК 84 5/32,1515,ГК 86 5/32,1730.0448,ЦКсОК 5/16,-,-,1740,закрыт,-,-,-,-,-,-,-,1780,1780,0,73,5.5,65,Угловик,Периодический,24,24,24,35,23,2023-04-01 00:00:00,83,79,Не работает,Сиант ,5,,,,,41,3.7571094,4.5,0.13,7.2,5,,2.2,585.5565451461168,1328.4151154829785,0.10714285714285714
2,2-2,2.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-4,2-2,Куст скважины-2,2002-02-07 00:00:00,Гор.,Р4+5_Block3,Действующий,В работе (постоянный режим),,,,,203,218.2,0.98,1.66,1.1299733274060901,1.454,0.836,0.72,34.3,1.17,139.7,7.72,1935,2767,2767,2012-12-01 00:00:00,,,открытый,1935-2767 ,1.009999999999991,1935,19.7,,,,Газлифт,468.000010547,ГП,865.000001367,ГК 87 1/8,1196.99997832,ГК 86 1/8,1472.000048438,ГК 86 1/8,1712.999961328,ЦКсОК 5/16,-,-,1821,открыт,-,-,-,-,-,-,-,2200,1948.75,251.25,73,5.5,18,ШДР,Постоянный,24,0,18,45,15,2023-04-01 00:00:00,115,84,В работе,ГКС,6,,,,,83,5.8209007999999995,10.3,32.4,19.9,13,,6.899999999999999,1185.3835406368717,1342.229437313466,0.321875
3,3-2,2.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-3,3-2,Куст скважины-3,1996-06-22 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),,,,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,"177,8;139,7","8,05; 7,72",0-1818; 1818-2588,2596,2596,,,,закрытый,1818-2588(фильтр хвостовик),144.85,1818,13.8,1818-2588,139.7,7.72,Фон.,786,ГК 77 1/8,1386,ГК 77 1/8,1784,ЦКсОК 5/16,-,-,-,-,-,-,1797,закрыт,-,-,-,-,-,-,-,2417,1949.05,467.95000000000005,73,5.5,65,Угловик,Постоянный,24,0,19,30,18,2023-04-01 00:00:00,109,,,,,,,,,36,6.6044,7.9,0,11.2,,,11.2,1695.8391375446672,,0.10821917808219178
4,3-3,3.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-3,3-3,Куст скважины-3,1996-09-19 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),,,,,203,218.2,0.98,1.66,1.3064567940893026,1.454,0.836,0.72,34.3,1.17,"139,7/102","7,72/6,5",2147,2550,2550,,,,открытый,1919-2550,30.67,1919,42,1470-1919,102,6.5,Газлифт,519.999999316,ГП,930.000015234,ГК 77 1/8,1260.000039844,ГК 79 5/32,1430.000007422,ЦКсОК 5/16,-,-,-,-,1440,закрыт,-,-,-,-,-,-,-,1480,1469,11,73,5.5,65,Угловик,Постоянный,24,0,20,47,19,2023-04-01 00:00:00,156,60,,,6,,,,,52,4.108104,12.6,61,14.5,12,,2.5,608.5532401321875,922.4743344578297,0.12115384615384615
5,4-2,3.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-3,4-2,Куст скважины-4,1996-08-15 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (периодический режим),,, ,,203,218.2,0.98,1.66,0.9818501368844424,1.454,0.836,0.72,34.3,1.17,177.8,8.05,0-1879,2432,2432,,,,закрытый,1879-2429 (фильтр хвостовик),88.42,1879,15.5,1879-2429,139.7,7.72,Газлифт,509.9304,ГК 80 1/8,900.0744,ГК 80 1/8,1210.056,ГК 78 1/8,1459.992,ГК 75 1/8,1699.8696,ЦКсОК 5/16,-,-,1810,закрыт ,-,-,-,-,-,-,-,2429,1951.2,477.79999999999995,73,5.5,65,Угловик,Периодический,24,24,18,36,17,2023-04-01 00:00:00,76,67,В работе,ГКС,6,,,,,41,2.9125403999999997,3.5,0.46,6.9,3.55,,3.3500000000000005,1150.1986375879974,1211.114606854117,0.1
6,4-1,4.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-3,4-1,Куст скважины-4,1995-04-06 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),-4.0,1996-11-27 00:00:00,Halli,,203,218.2,0.98,1.66,0.98,1.454,0.836,0.72,34.3,1.17,"177,8;139,7","8,05; 7,72",0-1976; 1976-2517,2517,2517,,,,открытый,2038-2493,45.01999999999998,1976,70.94,1976-2517,139.7,7.72,Газлифт,619.999997754,ГП,1130.000012109,ГП,1524.999976172,ГК 85 5/32,1787.999960156,ЦКсОК 5/16,-,-,-,-,1780,открыт,-,-,-,-,-,-,-,2020,1950.06,69.94000000000005,73,5.5,18,ШДР,Постоянный,24,0,18,34,17,2023-04-01 00:00:00,69,69,В работе,Инком-систем,6,,,,,42,8.2764,9.9,0,12.3,5.3,,7.000000000000001,845.7783577400803,640.3750422889178,0.3666666666666667
7,4-3,5.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-3,4-3,Куст скважины-4,1995-11-16 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),,,,,203,218.2,0.98,1.66,1.0315527824278394,1.454,0.836,0.72,34.3,1.17,"177,8; 114",9.19,1863,"1 ств:1640 (ЦМ)
2 ств:2605",2605,,,,открытый,"2031,9-2605",10.39,2031.9,115.33,1562-2031,114,7.72,Газлифт,519.9888,ГП,940.0032,ГП,1299.972,ГК 82 1/8,1530.096,ЦКсОК 5/16,-,-,-,-,-,-,-,-,-,-,-,-,-,2031.9,1916.57,115.33000000000015,73,5.5,65,Угловик,Постоянный,24,0,20,39,19,2023-04-01 00:00:00,67,67,В работе,ГКС,6,,,,,32,1.9818216,2.7,12.2,19.1,6.8,,12.3,6206.411313712597,2877.3729652530133,0.07714285714285715
8,5р,6.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-2,5р,Без куста,1994-12-09 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),,, ,,203,218.2,0.98,1.66,0.9832221255197755,1.454,0.836,0.72,34.3,1.17,"139,7; 114",7.72,2017,2170,2170,,,,открытый,2033-2170                                     ,4.48,2033,122.48,"1656,09-2033",114,7.4,Газлифт,602.000017383,ГП,1099.999982813,ГК 82 1/8,1587.999963281,ЦКсОК 5/16,-,-,-,-,-,-,1638,закрыт,-,-,-,-,-,-,-,2033,1910.52,122.48000000000002,73,5.5,18,ШДР,Постоянный,24,0,20,45,18,2023-04-01 00:00:00,92,74,В работе,Сиант ,6,,,,,35,8.873638399999999,10.7,0.8,16.4,9.6,,6.799999999999999,766.31475089181,1069.9045306355572,0.18771929824561404
9,5-2,7.0,2023-06-19 00:00:00,ГПНО,ВУ ОНГКМ,ВУ ОНГКМ,ЦДНГ-1,ТЛ-1,ГЗУ-3,5-2,Куст скважины-5,2002-06-07 00:00:00,Гор.,Р4+5+6_Block2,Действующий,В работе (постоянный режим),,, ,,203,218.2,0.98,1.66,0.9808035498963005,1.454,0.836,0.72,34.3,1.17,"139,7; 114",7.72,1990,"1 ств 2586
2 ств 2620 ","1 ств 2586
2 ств 2620 ",,,,открытый,1875-2586; 1875-2620,15,1990,72.1,,,,Газлифт,519.999999316,ГП,949.999985156,ГП,1299.999979688,ГК 77 5/32,1560.000035156,ЦКсОК ,-,-,-,-,1703,закрыт,-,-,-,-,-,-,-,1590,1918,-328,73,5.5,65,Угловик,Постоянный,24,0,19,61,18,2023-04-01 00:00:00,108,63,В работе,Сиант ,6,,,,,41,4.9225352,5.9,0.2,8.1,6,,2.0999999999999996,426.609443036588,1215.5100049033676,0.08805970149253732
